projName,projDesc,projLead,projCollab,projFunding,projGrouping,projSource
Gateway for funding and Impact Validation using blockchain Ethereum (GIVE),"Ambiguity around how charities spend donations and the impact of their work is causing growing mistrust from public and institutional donors. Yet, impact measurement is complex and costly; precluding smaller charities and diverting resources from the primary work of large charities. If they could report impact and spending better, donors would give more. Blockchain technology could address these issues, so Alice has developed a MVP of a philanthropy platform called GIVE that helps charities to link donations to outcomes, and report on impact and spending much more easily and affordably than before. The result is greater transparency and trust in charities, which will increase donations; meaning more funds available to invest in the amazing work they do. For this project, Alice will collaborate with Imperial College to address and overcome the technical challenges that currently exist with blockchain, to increase transparency, trust and financial sustainability for valuable charities.",['Alice Si Ltd'],"['Imperial College London', 'Alice Si Ltd']",223535,Blockchain,EPSRC
Blockchain technology for Algorithmic Regulation And Compliance (BARAC),"BARAC investigates the feasibility of using blockchain technology for automating regulation and compliance producing a proof-of-concept platform and facilitating knowledge transfer by means of a bottom-up cross-disciplinary approach developed together with industry and regulators.

Blockchain Distributed Ledger Technologies (DLT) are of great interest to the financial industry because they have the potential to improve efficiency, augment security, eliminate duplications, simplify compliance and increase settlement speed, transparency and verifiability while preserving privacy and anonymity. These technologies are also of great interest to regulators because they provide very powerful auditing tools which can be used for automatic compliance reporting and algorithmic regulation. These technologies introduce several disruptive innovations in this area giving access to auditable data which are hard to tamper with and include both real time and the entire history; providing new instruments to monitor and quantify reputation of users; generating transparent, yet securely encrypted, environments where rules can be implemented enforced and adapted.

In this project we investigate technical, legal and managerial aspects related to use of DLT in the services industry including the significance of new business models and their effects on industry structure. BARAC aims to: i) demonstrate that blockchain technologies can be used to acquire and record financial activity data and to securely retrieve them for regulation and compliance purposes; ii) implement a case-study proof-of-concept platform for automatic compliance and algorithmic regulation from blockchain data; iii) transfer knowledge to industry and regulators and disseminate results to academic community and the wider public.

This will be achieved by adapting existing DLT systems, such as hyperledger (open source DLT project from Linux Foundation) and Corda (DLT project from R3-CEV for financial applications), to provide access to regulatory and compliance data for regulators and by designing smart contracts that automatically verify and execute regulations using smart contracts. We intend to set up a proof-of-concept platform where the feasibility of using DLT technology for compliance and regulation of financial services can be tested in practice addressing industry-relevant case studies. This platform will be built with a bottom up approach working together with our industry and regulator partners and constructed around their requirements and perspectives. 

BARAC addresses several challenges that span across many disciplines; therefore a cross-disciplinary effort is essential and indeed this project has gathered together PI and co-Co-Is from five different Departments including Computer Science, Mathematics, Law, Economics, Management and Finance from four different institutions. Together with academia, the proponents' consortium includes regulators, financial industry and the technology sector.

This project has the potential to radically change the way in which regulation and compliance are performed essentially reverting the present approach. Firms will no longer have the duty to report to regulators but instead regulators will access auditable data directly from the DLT. This will radically reduce the burden on firms increasing efficiency, transparency and eliminating the risk of unintentional breaching of compliance and regulation rules. The impact will not only be felt on the financial services sector but will also ripple across the entire services sector from healthcare to the food industry and education. Indeed all industries and services are regulated and need to comply by reporting information to the relative authorities and government bodies. It will also have impact upon business models and managerial practices.",['University College London'],"['R3 CEV', 'Financial Conduct Authority', 'Aesthetic Integration Ltd', 'British Telecommunications Plc', 'Morrison & Foerster', 'Advanced Technologies Solutions  s.p.a.', 'Cyprus Securities & Exchange Commission', 'Lykke']",616794,Blockchain,EPSRC
"Blockchain Smart Contract Data Privacy, Speed of Access and Data Scalability","A key feature of Blockchain smart contract technology is that all data is visible to all
participants in the network. This project addresses the need of participants to provide data
visibility only to intended recipients, whilst keeping the data hidden from other network
participants, even though they all hold a copy of the data. The solution requires no sharing of
keys or secrets off-chain. In addition, data is pre-decrypted into a local smart cache, providing
each participant fast access to the smart contract data they are permissioned to see. Finally,
this project will provide a solution for scalable underlying blockchain data storage. All of this
will be implemented, packaged and presented for the sample use case.",['Applied Blockchain Ltd'],['Applied Blockchain Ltd'],67000,Blockchain,EPSRC
Settlement using blockchain to Automate Foreign Exchange in a Regulated environment (SAFER),"While forex is essential for businesses, SMEs are pushed out of the market due to the
financial crisis and resulting high compliance fees. Banks now consider SMEs too risky for
forex, limiting capacity for UK SMEs to trade outside the UK. SMEs with forex turnover of
less than &pound;1m are now being refused services, forcing most SMEs to use small (Tier 2) banks
who charge as much as 10% commission on each transaction.
Because forex systems in large banks require large teams of people, they are expensive to
operate, thereby often requiring min. &pound;50K per transaction and charging as much as 10%
commission on each transaction. These services are opaque about charges/costs and
inefficient (often taking 1 to 5 days) due to the number of intermediaries involved. Because
forex conversions are not simultaneous, participants are vulnerable to settlement risk
(Herstatt), further increasing forex costs.
Blockchain is emerging as the standard for transferring value, lead by NY introducing first
bitlicense in Aug 2015 and Nasdaq group announcing use of blockchain for share trading in
May 2015. Tramonex’s blockchain system will enable highly efficient forex transactions
(approx. just 10 mins) and provide SMEs with a broad range of currencies at low cost.
Tramonex, an established online forex and payments platform for SMEs, has developed a
proof of concept blockchain settlement system for foreign exchange. In this project,
Tramonex will, establish a prototype for blockchain settlement and demonstrate to the FCA
(Financial Conduct Authority) and other regulatory authorities for approval.
The Tramonex platform will operate much more quickly than other systems, with
significantly lower fees. Tramonex will be fully automated and transparent, so users will
know the exact commission charges. The platform will also perform automated identity
checks, to fulfill anti-money laundering regulation compliance.",['Tramonex Ltd'],['Tramonex Ltd'],248009,Blockchain,EPSRC
Taming Concurrency,"Computer programs are notoriously difficult to perfect (everyone has experienced some form of inconvenience from &quot;bugs&quot;) and even if this situation is beginning to come under control, it is at enormous cost. One reason for the high development cost of software is that errors made early in the design of a system can lay undetected until that system is tested - or even worse, used by customers. Correcting errors at such late stages is extremely expensive because so much work has to be repeated. So-called &quot;formal methods&quot; were first deployed on safety-critical software but are becoming more and more cost-effective because their use throughout design can drastically reduce the &quot;scrap and rework&quot; that comes from late detection of design mistakes. Formal methods make this possible because they use formal notations for specifying what should be built and thus offer a notion of correctness for each design step. Verifying design decisions becomes a proof process that can be helped by appropriate theorem proving software. Unfortunately, just as real progress is being made (both with general engineering practices and with the application of formal methods), separate commercial developments are increasing the challenges enormously. The general direction of new difficulties is &quot;concurrency&quot;. Programs that are concurrent have to run in contexts which interfere with their progress. Concurrency can come from a desire for better performance, from use of embedded programs in conjunction with physical devices such as cars and planes, or from the use of the latest hardware designs that are built from many processors. Traditional engineering approaches, and even many modern automatic tools for detecting errors in software, are not going to suffice for the world of massive concurrency because the number of execution paths is astronomically large when processes can interfere with each other. Fortunately, there is research (in which UK researchers are at the forefront) for reasoning both about where interference is absent and/or constrained. These research avenues, however, need to be brought together and tool support must be implemented before they are usable by engineers. These are the expected outputs of &quot;Taming Concurrency&quot;.",['Newcastle University'],[],643518,Crypto Currency,EPSRC
Westgate USB Crypto,"IronShield is portable hardware and software which provides instant, person-to person Virtual Private Networking (VPN) for high assurance enterprise markets. Setting up a secure mesh network is as easy as a phone call.",['Westgate Cyber Security Limited'],['Westgate Cyber Security Limited'],59601,Crypto Currency,EPSRC
Crypto Secure Element,"TransaXiom is a supplier of Digital Cash solutions that offers all the advantages of physical cash in a digital form, and is suited to eCommerce in general, and mCommerce in particular, via NFC Mobile handsets. 

With Support from the Technology Strategy Board, we are excited by the possibility of extending our technical capability to custom smart card development in order to achieve higher performance, lower costs and greater flexibility to meet the ePayment needs of our customers.",['TransAxiom Limited'],['TransAxiom Limited'],5000,Crypto Currency,EPSRC
Martin Technologies LTD. crypto patent,"An external knowledge supplier on technological patents will aid the startup to file a patent application, and advize on how to create the necessary business links. Ideally, this will be someone from a technological consultancy, or a intelectual property adviser with marketing knowledge.",['Martin Technologies Ltd.'],['Martin Technologies Ltd.'],5000,Crypto Currency,EPSRC
Verifiably correct concurrency abstractions,"Multi-core computing architectures have become ubiquitous over the last decade. This has been driven by the demand for continual performance improvements to cope with the ever-increasing sophistication of applications, combined with physical limitations on chip designs, whereby speed-up via higher clock speeds has become infeasible. The inherent parallelism that multi-core architectures entail offers great technical opportunities, however, exploiting these opportunities presents a number of technical challenges.

To ensure correctness, concurrent programs must be properly synchronised, but synchronisation invariably introduces sequential bottlenecks, causing performance to suffer. Fully exploiting the potential for concurrency requires optimisations to consider executions at low levels of abstraction, e.g., the underlying memory model, compiler optimisations, cache-coherency protocols etc. The complexity of such considerations means that checking correctness with a high degree of confidence is extremely difficult. Concurrency bugs have specifically been attributed to disasters such as a power blackout in north-eastern USA, Nasdaq's botched IPO of Facebook shares, and the near failure of NASA's Mars Pathfinder mission. Other safety-critical errors have manifested from using low-level optimisations, e.g., the double-checked locking bug and the Java Parker bug.

This project improves programmability of concurrent programs through the use of scalable atomicity abstractions such as TM and concurrent objects that make low-level optimisations available to general application programmers. Operations of such objects are highly concurrent (which improves efficiency), yet manage synchronisation on behalf of a programmer to provide an illusion of atomicity. Thus, by using TM, the focus of a programmer switches from what should be made atomic, as opposed to how atomicity should be guaranteed. This means concurrent systems can be developed in a layered manner (enabling a separation of concerns).

The attractive set of features that TM promises means that TM implementations are increasingly being incorporated into mainstream systems (hardware and software). Since the adaptation of transactions from database theory in the mid 1990s, software TM implementations are now available for all major programming languages. Recent advances include experimental features in compilers such as G++ 4.7 that directly enable compilation of transactional code; standardisation work to include TM within C++ is ongoing. There is extensive research interest in hybrid TM within both academia and industry to make best use of, for example, TM features in Intel's Haswell/Broadwell and IBM's Blue Gene/Q processors.

The high level of complexity, yet wide-scale applicability of TM means that implementations must be formally verified to ensure dependability and reliability. Overall, we will improve the dependability, performance, and flexibility of TM implementations.",['Brunel University'],[],14370,Crypto Currency,EPSRC
Firesouls virtual currency design project,"Firesouls is building a virtual local currency. The currency provides the 'liquidity' for the Social Value Exchange, an online market that brings together government suppliers and local community based organisations to maximise Social Value.",['Firesouls Limited'],['Firesouls Limited'],5000,Crypto Currency,EPSRC
"Compositional, dependency-aware C++ concurrency","We address a difficult technical problem that is drawn from outside of the strict bounds of academic research: we seek a solution to fundamental problems found in the standards of the C and C++ programming languages. C and C++ code is not just prevalent -- it is used to form the lowest and most trusted levels of our systems. The kernel of every mainstream operating system uses some combination of the two, including Windows, MacOS, iOS, Android, Linux and Unix, as do the swathe of embedded controllers with essential functions like engine management. Having a good specification of the language is the first step in verifying the correctness of these vital system components.

-- Combatting software failure --

This work is part of a larger effort to combat software failure by developing techniques to verify the correctness of software. Currently, developers of computer systems rely predominantly on testing to ensure that systems behave as they should. The system is run for some time over various inputs and monitored for failure. The hope is that this will expose enough of the flaws in the system to have it behave reliably once it is deployed. But it is increasingly expensive to achieve good coverage: systems like cars experience varied inputs, and a fleet of a particular model runs collectively for far longer than the time its computer systems are tested. Worse still, modern systems are concurrent -- using multiple communicating processors to complete a task. The delicate interplay between the concurrent processors makes the output of the system dependent on the timing of communication, so that some behaviours occur only a handfull of times in billions of runs, leaving testing little hope of finding associated bugs.

There is evidence that this approach is breaking down and some bugs are evading discovery even in critical systems: for example a concurrency bug caused some of Toyota's cars to suddenly and relentlessly accelerate, killing 83 over 10 years. The wider economic cost of software failure was estimated by the U.S. National Institute of Standards and Technology to cost USD 60bn each year. Improving our approach to software failure would have substantial economic and societal impact.

Verification offers an alternative to testing: one defines desirable properties of the system -- it will not crash, fuel metering will be proportional to accelerator input, and so on -- and mathematically proves that the code satisfies them. In the ideal of verification, there is no space for bugs to creep in and the mathematical proof of correctness is absolute. Unfortunately, verification techniques are invariably built above an idealised model of the computer system, e.g. the assumption that memory accesses take place in a global sequential order, so called sequential consistency (SC). The distance between the ideal and the reality leaves ample space for bugs to persist. In fact the status quo is much worse because we do not have a characterisation of the reality of the system's behaviour: our best models of programming-language behaviour are known to be broken, e.g. in C, C++ and Java.

In this broad context, our project will develop a description of concurrency in the C and C++ languages that matches the reality, permitting the sorts of concurrent behaviour exhibited by compiler optimisations and the underlying concurrent processors. At the same time, we will support components written under the idealised SC assumption, enabling for the first time the use of the most powerful automatic verification techniques in a setting that correctly models the subtle concurrency behaviour of modern languages, dovetailing these previously disparate views of the system. Our work will make verification of concurrent systems more viable, helping to address the economic and social costs of software failure.",['University of Kent'],[],98786,Crypto Currency,EPSRC
Novel printing solutions for tackling fraud in minted currencies,Novel printing solutions for tackling fraud in minted currencies,['University of Liverpool'],[],0,Crypto Currency,EPSRC
